Language Accuracy: 0.9788630694499146
NE Accuracy: 0.9688109161793372
Token	Gold Standard	Tagged Language	Named Entity	Evaluation
Am	Eng	Eng	O/MISC	Correct
I	Eng	Eng	O/MISC	Correct
?	Punct	Punct	O	NA
V	Num	Spn	O/ORGANIZATION	NA
Celos	Spn	Spn	O/ORGANIZATION	Correct
Pasional	Spn	Spn	O/ORGANIZATION	Correct
Crónica	Spn	Spn	O/ORGANIZATION	Correct
14	Num	Num	O	NA
julio	Spn	Spn	O	Correct
2001	Num	Num	O	NA
Buenos	NamedEnt	Spn	LOCATION/LOCATION	Correct
Aires	NamedEnt	Spn	LOCATION/LOCATION	Correct
For	Eng	Eng	O/LOCATION	Correct
Suzinn	NamedEnt	Eng	O/LOCATION	Correct
“	Punct	Punct	O	NA
Lee	NamedEnt	Eng	O	Incorrect
"	Punct	Punct	O	NA
Weiss	NamedEnt	Eng	ORGANIZATION/PERSON	Correct
Mamá	Spn	Spn	ORGANIZATION/PERSON	Correct
y	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
after	Eng	Eng	O	Correct
their	Eng	Eng	O	Correct
flechazo	Spn	Spn	O	Correct
meeting	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
la	Spn	Spn	O	Correct
cubierta	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
ese	Spn	Spn	O	Correct
Transatlantic	Eng	Eng	O/ORGANIZATION	Correct
liner	Eng	Eng	O	Correct
carrying	Eng	Eng	O	Correct
them	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
study	Eng	Eng	O	Correct
abroad	Eng	Eng	O	Correct
program	Eng	Eng	O	Correct
en	Spn	Spn	O	Correct
Madrid	NamedEnt	Spn	LOCATION/LOCATION	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
verano	Spn	Spn	O	Correct
del	Spn	Spn	O	Correct
‘	Punct	Punct	O	NA
49	Num	Num	O	NA
(	Punct	Punct	O	NA
I	Eng	Eng	O/MISC	Correct
think	Eng	Eng	O/MISC	Correct
)	Punct	Punct	O	NA
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
after	Eng	Eng	O	Correct
su	Spn	Spn	O	Correct
cross-cultural	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tumultuous	Eng	Eng	O	Correct
courtship	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
terminó	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
modesta	Spn	Spn	O	Correct
boda	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
front	Eng	Eng	O	Correct
lawn	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
mis	Spn	Spn	O	Correct
abuelos	Spn	Spn	O	Correct
Chávez	NamedEnt	Spn	PERSON/PERSON	Correct
en	Spn	Spn	O	Correct
San	NamedEnt	Spn	LOCATION/LOCATION	Correct
Diego	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
Califas	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
after	Eng	Eng	O	Correct
el	Spn	Spn	O	Correct
subsecuente	Spn	Spn	O	Correct
distanciamiento	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
familia	Spn	Spn	O	Correct
judía	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
New	NamedEnt	Eng	LOCATION/LOCATION	Correct
York	NamedEnt	Eng	LOCATION/LOCATION	Correct
(	Punct	Punct	O	NA
especialmente	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
Grandma	NamedEnt	Eng	O/PERSON	Correct
Edna	NamedEnt	Spn	O/PERSON	Correct
)	Punct	Punct	O	NA
pues	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
what	Eng	Eng	O	Correct
other	Eng	Eng	O	Correct
kind	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
marriage	Eng	Eng	O	Correct
could	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
be	Eng	Eng	O	Correct
expected	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Except	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
one	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
had	Eng	Eng	O	Correct
:	Punct	Punct	O	NA
intense	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
loud	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
sarcastic	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
grand	Eng	Eng	O	Correct
gestures	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
mucho	Spn	Spn	O	Correct
grito	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
polémica	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
door	Eng	Eng	O	Correct
slamming	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
bailes	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
cocktail	Eng	Eng	O	Correct
parties	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
viajes	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
lágrimas	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
risa	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
una	Spn	Spn	O	Correct
vez	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
hasta	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
llevó	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
mí	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
mi	Spn	Spn	O	Correct
hermana	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
over	Eng	Eng	O	Correct
night	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
a	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
hotel	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
Santa	NamedEnt	Spn	LOCATION/LOCATION	Correct
Mónica	NamedEnt	Spn	LOCATION/LOCATION	Correct
.	Punct	Punct	O	NA
All	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
way	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
beach	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Mom	NamedEnt	Eng	O	Incorrect
was	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
excellent	Eng	Eng	O	Correct
driver	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Hasta	Spn	Spn	O	Correct
enseñó	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
conducir	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
papá	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
No	Eng	Spn	O	Incorrect
easy	Eng	Eng	O	Correct
task	Eng	Eng	O	Correct
porque	Spn	Spn	O	Correct
Daddy	NamedEnt	Eng	O/PERSON	Correct
had	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
raised	Eng	Eng	O	Correct
in	Eng	Eng	O	Correct
New	NamedEnt	Eng	LOCATION/ORGANIZATION	Correct
York	NamedEnt	Eng	LOCATION/ORGANIZATION	Correct
City	NamedEnt	Eng	LOCATION/ORGANIZATION	Correct
y	Spn	Spn	O	Correct
nunca	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
He’d	Eng	Eng	O	Correct
never	Eng	Eng	O	Correct
had	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
!	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
además	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
admit	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
tenía	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
pretty	Eng	Eng	O	Correct
bad	Eng	Eng	O	Correct
sense	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
direction	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
she’d	Eng	Eng	O	Correct
learned	Eng	Eng	O	Correct
how	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
drive	Eng	Eng	O	Correct
on	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
open	Eng	Eng	O	Correct
California	NamedEnt	Eng	LOCATION/LOCATION	Correct
roads	Eng	Eng	O	Correct
con	Spn	Spn	O	Correct
sus	Spn	Spn	O	Correct
tíos	Spn	Spn	O	Correct
in	Eng	Eng	O	Correct
their	Eng	Eng	O	Correct
big	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
low	Eng	Eng	O	Correct
American	Eng	Eng	O	Correct
cars	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Mamá	Spn	Spn	O	Correct
was	Eng	Eng	O	Correct
good	Spn	Eng	O	Incorrect
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
ojo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
if	Eng	Eng	O	Correct
anyone	Eng	Eng	O	Correct
cut	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
off	Eng	Eng	O	Correct
nos	Spn	Spn	O	Correct
pedía	Spn	Spn	O	Correct
(	Punct	Punct	O	NA
ella	Spn	Spn	O	Correct
tan	Spn	Spn	O	Correct
señorita	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
tan	Spn	Spn	O	Correct
correcta	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
never	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
palabrota	Spn	Spn	O	Correct
out	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
mouth	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
:	Punct	Punct	O	NA
honey	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
roll	Eng	Eng	O	Correct
down	Eng	Eng	O	Correct
your	Eng	Eng	O	Correct
window	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
will	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
give	Eng	Eng	O	Correct
that	Eng	Eng	O	Correct
guy	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
finger	Eng	Eng	O	Correct
?	Punct	Punct	O	NA
Or	Eng	Eng	O	Correct
si	Spn	Spn	O	Correct
veía	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
L.A.	NamedEnt	Spn	LOCATION/O	Correct
freeways	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
a	Spn	Spn	O	Correct
algún	Spn	Spn	O	Correct
movie	Eng	Eng	O	Correct
star	Eng	Eng	O	Correct
pues	Spn	Spn	O	Correct
eso	Spn	Spn	O	Correct
podía	Spn	Spn	O	Correct
ser	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
poquito	Spn	Spn	O	Correct
dangerous	Eng	Eng	O	Correct
porque	Spn	Spn	O	Correct
Mom	NamedEnt	Eng	O/PERSON	Correct
would	Eng	Eng	O	Correct
speed	Eng	Eng	O	Correct
up	Eng	Eng	O	Correct
para	Spn	Spn	O	Correct
arrimársele	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
saludar	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
como	Spn	Spn	O	Correct
esa	Spn	Spn	O	Correct
vez	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
she	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
sure	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
yes	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
I	Eng	Eng	O/MISC	Correct
think	Eng	Eng	O/MISC	Correct
it	Eng	Eng	O/MISC	Correct
actually	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
him	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
she	Eng	Eng	O	Correct
rolled	Eng	Eng	O	Correct
down	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
window	Eng	Eng	O	Correct
and	Eng	Eng	O	Correct
shouted	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
“	Punct	Punct	O	NA
Hey	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
Ernie	NamedEnt	Spn	PERSON/O	Correct
!	Punct	Punct	O	NA
"	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
definitivamente	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
it	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
Ernest	NamedEnt	Eng	PERSON/PERSON	Correct
Borgnine	NamedEnt	Eng	PERSON/PERSON	Correct
.	Punct	Punct	O	NA
Creo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
esa	Spn	Spn	O	Correct
vez	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
de	Spn	Spn	O	Correct
ese	Spn	Spn	O	Correct
fight	Eng	Eng	O	Correct
cuando	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
llevó	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
Santa	NamedEnt	Spn	LOCATION/LOCATION	Correct
Mónica	NamedEnt	Spn	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
que	Spn	Spn	O	Correct
hasta	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
llevó	Spn	Spn	O	Correct
a	Spn	Eng	O	Incorrect
Pacific	NamedEnt	Eng	LOCATION/LOCATION	Correct
Ocean	NamedEnt	Eng	LOCATION/LOCATION	Correct
Park	NamedEnt	Eng	LOCATION/LOCATION	Correct
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
that	Eng	Eng	O	Correct
may	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
been	Eng	Eng	O	Correct
another	Eng	Eng	O	Correct
time	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
for	Eng	Eng	O	Correct
sure	Eng	Eng	O	Correct
I	Eng	Eng	O	Correct
know	Eng	Eng	O	Correct
que	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
único	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
cenamos	Spn	Spn	O	Correct
was	Eng	Eng	O	Correct
hot	Eng	Eng	O	Correct
dogs	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
and	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
loved	Eng	Eng	O	Correct
it	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
claro	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
luego	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
mucha	Spn	Spn	O	Correct
llamada	Spn	Spn	O	Correct
telefónica	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
finally	Eng	Eng	O	Correct
they	Eng	Eng	O	Correct
made	Eng	Eng	O	Correct
up	Eng	Eng	O	Correct
como	Spn	Spn	O	Correct
siempre	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
fuimos	Spn	Spn	O	Correct
back	Eng	Eng	O	Correct
home	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Uno	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
los	Spn	Spn	O	Correct
peores	Spn	Spn	O	Correct
momentos	Spn	Spn	O	Correct
in	Eng	Eng	O	Correct
all	Eng	Eng	O	Correct
their	Eng	Eng	O	Correct
long	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
romantic	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
starcrossed	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
movie-star	Eng	Eng	O	Correct
marriage	Eng	Eng	O	Correct
fue	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
verano	Spn	Spn	O	Correct
cuando	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
tenía	Spn	Spn	O	Correct
como	Spn	Spn	O	Correct
16	Num	Num	O	NA
o	Spn	Spn	O	Correct
17	Num	Num	O	NA
años	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Recuerdo	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
yo	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
mis	Spn	Spn	O	Correct
hermanas	Spn	Spn	O	Correct
nos	Spn	Spn	O	Correct
dimos	Spn	Spn	O	Correct
cuenta	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
era	Spn	Spn	O	Correct
the	Eng	Eng	O	Correct
middle	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
afternoon	Eng	Eng	O	Correct
y	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
había	Spn	Spn	O	Correct
levantado	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Both	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
parents	Eng	Eng	O	Correct
were	Eng	Eng	O	Correct
early	Eng	Eng	O	Correct
risers	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
so	Eng	Eng	O	Correct
this	Eng	Eng	O	Correct
was	Eng	Eng	O	Correct
pretty	Eng	Eng	O	Correct
strange	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Papá	Spn	Spn	O	Correct
estaba	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
research	Eng	Eng	O	Correct
trip	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
España	NamedEnt	Spn	PERSON/LOCATION	Correct
.	Punct	Punct	O	NA
Bajamos	Spn	Spn	PERSON/O	Correct
a	Spn	Spn	O	Correct
su	Spn	Spn	O	Correct
recámara	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
y	Spn	Spn	O	Correct
mamá	Spn	Spn	O	Correct
se	Spn	Spn	O	Correct
encontraba	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
negligee	Spn	Eng	O	Incorrect
,	Punct	Punct	O	NA
distractedly	Eng	Eng	O	Correct
munching	Eng	Eng	O	Correct
See’s	NamedEnt	Eng	O	Incorrect
chocolates	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
—	Punct	Punct	O	NA
¿Qué	Spn	Spn	O	Correct
te	Spn	Spn	O	Correct
pasa	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
mamá	Spn	Spn	O	Correct
?	Spn	Punct	O	Incorrect
le	Spn	Spn	O	Correct
pregunté	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Mom	NamedEnt	Eng	O	Incorrect
is	Eng	Eng	O	Correct
a	Eng	Eng	O	Correct
Scorpio	NamedEnt	Eng	O/PERSON	Correct
y	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
TRUE	Eng	Eng	O/ORGANIZATION	Correct
to	Eng	Eng	O	Correct
her	Eng	Eng	O	Correct
sign	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
es	Spn	Spn	O	Correct
muy	Spn	Spn	O	Correct
apasionada	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
contundente	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
vengativa	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
eso	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
significa	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
absoluto	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
ella	Spn	Spn	O	Correct
sea	Spn	Spn	O	Correct
self-revealing	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
easy	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
read	Eng	Eng	O	Correct
o	Spn	Spn	O	Correct
como	Spn	Spn	O	Correct
quien	Spn	Spn	O	Correct
dice	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
emotionally	Eng	Eng	O	Correct
available	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Al	Spn	Spn	PERSON/O	Correct
contrario	Spn	Spn	PERSON/O	Correct
:	Punct	Punct	O	NA
guarded	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
secretive	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
—	Punct	Punct	O	NA
Oh	Eng	Eng	O	Correct
nothing	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
nos	Spn	Spn	O	Correct
dijo	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Siguió	Spn	Spn	O	Correct
así	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
tiempo	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
como	Spn	Spn	O	Correct
staring	Eng	Eng	O	Correct
out	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
window	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
out	Eng	Eng	O	Correct
through	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
northern	Eng	Eng	O	Correct
Califas	NamedEnt	Spn	O/LOCATION	Correct
pine	Eng	Eng	O	Correct
trees	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
down	Eng	Eng	O	Correct
over	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
small	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
bucolic	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
hippie-surf	Eng	Eng	O	Correct
town	Eng	Eng	O	Correct
al	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
Daddy	NamedEnt	Eng	O/PERSON	Correct
had	Eng	Eng	O	Correct
moved	Eng	Eng	O	Correct
us	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
we	Eng	Eng	O	Correct
wouldn’t	Eng	Eng	O	Correct
turn	Eng	Eng	O	Correct
into	Eng	Eng	O	Correct
Valley	NamedEnt	Eng	ORGANIZATION/PERSON	Correct
Girls	NamedEnt	Eng	ORGANIZATION/PERSON	Correct
and	Eng	Eng	O	Correct
so	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
glaucomic	Eng	Eng	O	Correct
eyes	Eng	Eng	O	Correct
no	Spn	Spn	O	Correct
tuvieran	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
soportar	Spn	Spn	O	Correct
el	Spn	Spn	O	Correct
daily	Eng	Eng	O	Correct
commute	Eng	Eng	O	Correct
through	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
smoggy	Eng	Eng	O	Correct
Los	NamedEnt	Spn	LOCATION/LOCATION	Correct
Angeles	NamedEnt	Spn	LOCATION/LOCATION	Correct
basin	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Mamá	Spn	Spn	O	Correct
miraba	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
entre	Spn	Spn	O	Correct
aturdida	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
ensoñada	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
toward	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
Pacific	NamedEnt	Eng	LOCATION/PERSON	Correct
Ocean	NamedEnt	Eng	LOCATION/PERSON	Correct
,	Punct	Punct	O	NA
her	Eng	Eng	O	Correct
beautiful	Eng	Eng	O	Correct
tilted	Eng	Eng	O	Correct
black	Eng	Eng	O	Correct
eyes	Eng	Eng	O	Correct
clouded	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
angustia	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Pero	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
decía	Spn	Spn	O	Correct
nada	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Yo	Spn	Spn	O	Correct
sentía	Spn	Spn	O	Correct
ominous	Eng	Eng	O	Correct
waves	Eng	Eng	O	Correct
de	Spn	Spn	O	Correct
malestar	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
Y	Spn	Spn	O	Correct
persistí	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
—	Punct	Punct	O	NA
Mom	NamedEnt	Eng	O	Incorrect
,	Punct	Punct	O	NA
si	Spn	Spn	O	Correct
no	Spn	Spn	O	Correct
me	Spn	Spn	O	Correct
dices	Spn	Spn	O	Correct
qué	Spn	Spn	O	Correct
tienes	Spn	Spn	O	Correct
voy	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
pensar	Spn	Spn	O	Correct
que	Spn	Spn	O	Correct
es	Spn	Spn	O	Correct
algo	Spn	Spn	O	Correct
terrible	Spn	Eng	O	Incorrect
.	Punct	Punct	O	NA
Like	Eng	Eng	O	Correct
you	Eng	Eng	O	Correct
have	Eng	Eng	O	Correct
cancer	Eng	Eng	O	Correct
or	Eng	Eng	O	Correct
something	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
le	Spn	Spn	O	Correct
dije	Spn	Spn	O	Correct
.	Punct	Punct	O	NA
And	Eng	Eng	O	Correct
I’m	Eng	Eng	O/MISC	Correct
gonna	Eng	Eng	O/MISC	Correct
call	Eng	Eng	O/MISC	Correct
Dad	NamedEnt	Eng	O/MISC	Correct
.	Punct	Punct	O	NA
At	Eng	Eng	O	Correct
the	Eng	Eng	O	Correct
mention	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
his	Eng	Eng	O	Correct
name	Eng	Eng	O	Correct
,	Punct	Punct	O	NA
irrumpió	Spn	Spn	O	Correct
en	Spn	Spn	O	Correct
llanto	Spn	Spn	O	Correct
y	Spn	Spn	O	Correct
anunció	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
finalmente	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
en	Spn	Spn	O	Correct
tono	Spn	Spn	O	Correct
altamente	Spn	Spn	O	Correct
melodramático	Spn	Spn	O	Correct
(	Punct	Punct	O	NA
typical	Eng	Eng	O	Correct
of	Eng	Eng	O	Correct
Mom	NamedEnt	Eng	O/MISC	Correct
,	Punct	Punct	O	NA
pero	Spn	Spn	O	Correct
lo	Spn	Spn	O	Correct
compramos	Spn	Spn	O	Correct
every	Eng	Eng	O	Correct
time	Eng	Eng	O	Correct
)	Punct	Punct	O	NA
:	Punct	Punct	O	NA
—	Punct	Punct	O	NA
Girls	Eng	Eng	O/PERSON	Correct
,	Punct	Punct	O	NA
I’m	Eng	Eng	O	Correct
sureDaddy	Eng	Eng	O	Correct
is	Eng	Eng	O	Correct
having	Eng	Eng	O	Correct
an	Eng	Eng	O	Correct
affair	Eng	Eng	O	Correct
.	Punct	Punct	O	NA
Con	Spn	Spn	O	Correct
eso	Spn	Spn	O	Correct
,	Punct	Punct	O	NA
se	Spn	Spn	O	Correct
lanzó	Spn	Spn	O	Correct
a	Spn	Spn	O	Correct
un	Spn	Spn	O	Correct
torrente	Spn	Spn	O	Correct
de	Spn	Spn	O	Correct
palabras	Spn	Spn	O	Correct
:	Punct	Punct	O	NA
I’m	Eng	Eng	O	Correct
going	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
lose	Eng	Eng	O	Correct
20	Num	Num	O	NA
pounds	Eng	Eng	O	Correct
rinse	Eng	Eng	O	Correct
my	Eng	Eng	O	Correct
hair	Eng	Eng	O	Correct
back	Eng	Eng	O	Correct
to	Eng	Eng	O	Correct
black	Eng	Eng	O	Correct
